year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2009,Aidong Lu,"University of North Carolina, Charlotte",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Aidong Lu,"University of North Carolina, Charlotte",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Aidong Lu,"University of North Carolina, Charlotte",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Aidong Lu,"University of North Carolina, Charlotte",US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Aidong Lu,"University of North Carolina, Charlotte",US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Aidong Lu,"University of North Carolina, Charlotte",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Aidong Lu,"University of North Carolina, Charlotte",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Akio Doi,Iwate Prefectural University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Akio Doi,Iwate Prefectural University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Alex Lex,University of Utah,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Alex Pang,"University of California, Santa Cruz",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Alex Pang,"University of California, Santa Cruz",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Alex Pang,"University of California, Santa Cruz",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Alex Pang,"University of California, Santa Cruz",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Alex Pang,"University of California, Santa Cruz",US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Alex Telea,University of Groningen,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Alex Telea,University of Groningen,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Alex Telea,University of Groningen,NL,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Alexander Wolff,University of W?rzburg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Alexander Wolff,University of W?rzburg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Alexander Wolff,University of W?rzburg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Anastasia Bezerianos,Ecole Centrale Paris,FR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Anastasia Bezerianos,Ecole Centrale Paris,FR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Anastasia Bezerianos,Ecole Centrale Paris,FR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Anders Ynnerman,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Anders Ynnerman,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Anders Ynnerman,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Anders Ynnerman,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Anders Ynnerman,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Andreas Kerren,Linnaeus University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Andreas Kerren,Linnaeus University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Andreas Kerren,Linnaeus University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2009,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2010,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2011,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2012,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2012,Arie Kaufman,Stony Brook University,US,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2013,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2014,Arie Kaufman,Stony Brook University,US,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2008,Atsuto Maki,Kyoto University,JP,Exhibition Chair,,1,,,,,,,,,,,,,,,,,,,,,
2011,Baoquan Chen,Chinese Academy of Sciences,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Baoquan Chen,Shenzhen Institutes of Advanced Technology,CN,Sponsorship Chair,,,,,,,,,,,,,,,,1,,,,,,,
2015,Baoquan Chen,Shangdong University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Baoquan Chen,Shangdong University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Benjamin  Renoust,National Institute of Informatics,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Beppe Liotta,University of Perugia,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Beppe Liotta,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Bernhard Preim,University of Magdeburg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Bernhard Preim,University of Magdeburg,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
