index,Year,ArticleNo,Title,Abstract,Author,Affiliation,IEEEKeyword,Reference,ReferenceNo,Citation,CitationNo,Nationality,,,,,,,,,,,,,
1,2008,4475452,Efficient Rendering of Extrudable Curvilinear Volumes,"We present a technique for memory-efficient and time-efficient volume rendering of curvilinear adaptive mesh refinement data defined within extrudable computational spaces. One of the main challenges in the ray casting of curvilinear volumes is that a linear viewing ray in physical space will typically correspond to a curved ray in computational space. The proposed method utilizes a specialized representation of curvilinear space that provides for the compact representation of parameters for transformations between computational space and physical space, without requiring extensive preprocessing. By simplifying the representation of computational space positions using an extrusion of a profile surface, the requisite transformations can be greatly simplified. Our implementation achieves interactive rates with minimal load time and memory overhead using commodity graphics hardware with real-world data.",Steven Martin;Han-Wei Shen;Ravi Samtaney,Ohio State University. e-mail: martinst@cse.ohio-state.edu;Ohio State University. e-mail: hwshen@cse.ohio-state.edu;Princeton Plasma Physics Laboratory. e-mail: samtaney@pppl.gov,Physics computing;Adaptive mesh refinement;Computer graphics;Casting;Rendering (computer graphics);Hardware;Plasmas;Laboratories;Image generation;Mesh generation,16,1372266;398853;4015501;1372266;398853;4015501;745310;817349;1207442;1250384;1500541;398853;4015486,2,6327236;6684150,US;US;US,,,,,,,,,,,,,
2,2008,4475453,Second Order Pre-Integrated Volume Rendering,"In the field of Volume Rendering, the pre-integration of arbitrary transfer functions has certainly led to the most significant and convincing results both quality and performance wise, allowing high quality visualization on standard PC consumer graphics. By showing that the ideal scalar signal along the cast rays is better approximated by a succession of polynomial curves as opposed to linear segments, we propose a new method for pre-integrated volume rendering. This method is based on a second order polynomial interpolation of the scalar values, allowing it to converge more rapidly towards the integration of a volume reconstructed by a trilinear filter. This approach manages to capture the smoothness of the volume's details without the need of further ray resampling, and consequently succeeds in reducing the visual artefacts in comparison to previous techniques. Furthermore, we adapt an existing technique to compute our pre-integration tables using the GPU, thus making our approach suitable for transfer function manipulations.",Jean-Francois El Hajjar;Stephane Marchesin;Jean-Michel Dischler;Catherine Mongenet,"XLIM, University of Limoges. jean-francois.el-hajjar@xlim.fr;LSIIT, University of Strasbourg. marchesin@icps.u-strasbg.fr;LSIIT, University of Strasbourg. dischler@dpt-info.u-strasbg.fr;LSIIT, University of Strasbourg. mongenet@icps.u-strasbg.fr",Rendering (computer graphics);Polynomials;Transfer functions;Computer graphics;Hardware;Visualization;Interpolation;Acceleration;Image reconstruction;Filters,25,1532799;1250412;1250384;1542005;745713;1298797;1226506;885683;885683;1532809;1500541;1250390;675650,9,5540722;6134719;6530590;7314541;5613490;6092707;6532282;6552195,FR;FR;FR;FR,,,,,,,,,,,,,
3,2008,4475454,Dynamic Shader Generation for Flexible Multi-Volume Visualization,"Volume rendering of multiple intersecting volumetric objects is a difficult visualization task, especially if different rendering styles need to be applied to the components, in order to achieve the desired illustration effect. Real-time performance for even complex scenarios is obtained by exploiting the speed and flexibility of modern GPUs, but at the same time programming the necessary shaders turned into a task for GPU experts only. We foresee the demand for an intermediate level of programming abstraction where visualization specialists can realize advanced applications without the need to deal with shader programming intricacies. In this paper, we describe a generic technique for multi-volume rendering, which generates shader code dynamically from an abstract render graph. By combining pre-defined nodes, complex volume operations can be realized. Our system efficiently creates GPU-based fragment shader and vertex shader programs ""on-the-fly"" to achieve the desired visual results. We demonstrate the flexibility of our technique by applying several dynamically generated volume rendering styles to multi-modal medical datasets.",Friedemann RoBler;Ralf P. Botchen;Thomas Ertl,"Institute for Visualization and Interactive Systems Universit?t Stuttgart, Germany. Email: roessler@vis.uni-stuttgart.de;Institute for Visualization and Interactive Systems Universit?t Stuttgart, Germany. Email: botchen@vis.uni-stuttgart.de;Institute for Visualization and Interactive Systems Universit?t Stuttgart, Germany. Email: ertl@vis.uni-stuttgart.de",Rendering (computer graphics);Computer graphics;Magnetic resonance imaging;Data visualization;Power generation;Assembly;Programming profession;Layout;Interactive systems;Computed tomography,21,1532856;1532856;1183777;4384233;4376190;942693;1500541;1207438,2,4607317;4967581,DE;DE;DE,,,,,,,,,,,,,
4,2008,4475455,Interactive Exploration of Remote Isosurfaces with Point-Based Non-Photorealistic Rendering,"We present a non-photo realistic rendering technique for interactive exploration of isosurfaces generated from remote volumetric data. Instead of relying on the conventional smooth shading technique to render the isosurfaces, a point-based technique is used to represent and render the isosurfaces in a remote client-server environment. The non-photo realistic nature of the proposed rendering method enables the server to transmit only the essential surface features, which substantially reduces the network traffic. The algorithm also utilizes frame coherence and efficiently encodes the isosurface configuration inside each voxel cell to further minimize the network overhead. Finally, our algorithm can adjust the point distributions using different illumination settings to adapt to different network speeds.",Guangfeng Ji;Han-Wei Shen;Jinzhu Gao,"Department of Computer Science and Engineering, The Ohio State University, Columbus, Ohio 43210; Vital Images, Inc. E-mail: ji.15@osu.edu;Department of Computer Science and Engineering, The Ohio State University, Columbus, Ohio 43210. E-mail: hwshen@cse.ohio-state.edu;Department of Computer Science and Engineering, The Ohio State University, Columbus, Ohio 43210",Isosurfaces;Data visualization;Rendering (computer graphics);Network servers;Computer graphics;Computer displays;Lighting;Costs;Large-scale systems;Workstations,25,597798;885694;597798;885694;925184;745300;1183777;346308;1238297;745713;568121,3,5071928;5402972,US;US;US,,,,,,,,,,,,,
5,2008,4475456,Crossing Minimization meets Simultaneous Drawing,"We define the concept of crossing numbers for simultaneous graphs by extending the crossing number problem of traditional graphs. We discuss differences to the traditional crossing number problem, and give an NP-completeness proof and lower and upper bounds for the new problem. Furthermore, we show how existing heuristic and exact algorithms for the traditional problem can be adapted to the new task of simultaneous crossing minimization, and report on a brief experimental study of their implementations.",Markus Chimani;Michael Junger;Michael Schulz,"Technical University of Dortmund, Germany. e-mail: markus.chimani@cs.uni-dortmund.de;University of Cologne, Germany. e-mail: mjuenger@informatik.uni-koeln.de;University of Cologne, Germany. e-mail: schulz@informatik.uni-koeln.de",Data visualization;Isosurfaces;Rendering (computer graphics);Network servers;Computer graphics;Computer displays;Lighting;Costs;Large-scale systems;Workstations,33,,3,5706644;5429593,DE;DE;DE,,,,,,,,,,,,,
6,2008,4475457,Effects of Crossing Angles,"In visualizing graphs as node-link diagrams, it is commonly accepted and employed as a general rule that the number of link crossings should be minimized whenever possible. However, little attention has been paid to how to handle the remaining crossings in the visualization. The study presented in this paper examines the effects of crossing angles on performance of path tracing tasks. It was found that the effect varied with the size of crossing angles. In particular, task response time decreased as the crossing angle increased. However, the rate of the decrease tended to level off when the angle was close to 90 degrees. One of the implications of this study in graph visualization is that just minimizing the crossing number is not sufficient to reduce the negative impact to the minimum. The angles of remaining crossings should be maximized as well.",Weidong Huang;Seok-Hee Hong;Peter Eades,"School of Information Technologies, University of Sydney, Australia. e-mail: whua5569@it.usyd.edu.au;School of Information Technologies, University of Sydney, Australia. e-mail: shhong@it.usyd.edu.au;School of Information Technologies, University of Sydney, Australia. e-mail: peter@it.usyd.edu.au",Data visualization;Displays;Algorithm design and analysis;Humans;Information technology;Delay;Law enforcement;Biotechnology;Monitoring;Computational efficiency,21,6312901;6312901,21,5635222;5613439;5429593;6069455;7023568;7785427,AU;AU;AU,,,,,,,,,,,,,
7,2008,4475458,Visual Statistics for Collections of Clustered Graphs,"We propose a method to visually summarize collections of networks on which a clustering of the vertices is given. Our method allows for efficient comparison of individual networks, as well as for visualizing the average composition and structure of a set of networks. As a concrete application we analyze a set of several hundred personal networks of migrants. On the individual level the network images provide visual hints for assessing the mode of acculturation of the respondent. On the population level they show how cultural integration varies with specific characteristics of the migrants such as country of origin, years of residence, or skin color.",Ulrik Brandes;Jurgen Lerner;Miranda J. Lubbers;Chris McCarty;Jose Luis Molina,"Dept. Computer & Information Science, University of Konstanz. Ulrik.Brandes@uni-konstanz.de;Dept. Computer & Information Science, University of Konstanz. lerner@inf.uni-konstanz.de;Dept. Social & Cultural Anthropology, Autonomous University of Barcelona. mirandajessica.lubbers@uab.es;Bureau of Economic and Business Research, University of Florida. chrism@bebr.ufl.edu;Dept. Social & Cultural Anthropology, Autonomous University of Barcelona. joseluis.molina@uab.es",Statistics;Visualization;Cultural differences;Information science;Concrete;Skin;Social network services;Information analysis;Power generation economics;Global communication,17,4126231;4126231;1382908;4015425;4061172,4,6596128,DE;DE;ES;US;ES,,,,,,,,,,,,,
8,2008,4475459,Energy-Based Hierarchical Edge Clustering of Graphs,"Effectively visualizing complex node-link graphs which depict relationships among data nodes is a challenging task due to the clutter and occlusion resulting from an excessive amount of edges. In this paper, we propose a novel energy-based hierarchical edge clustering method for node-link graphs. Taking into the consideration of the graph topology, our method first samples graph edges into segments using Delaunay triangulation to generate the control points, which are then hierarchically clustered by energy-based optimization. The edges are grouped according to their positions and directions to improve comprehensibility through abstraction and thus reduce visual clutter. The experimental results demonstrate the effectiveness of our proposed method in clustering edges and providing good high level abstractions of complex graphs.",Hong Zhou;Xiaoru Yuan;Weiwei Cui;Huamin Qu;Baoquan Chen,"The Hong Kong University of Science and Technology, Kowloon, Hong Kong. e-mail: zhouhong@cse.ust.hk;Peking University, Beijing, China. e-mail: xiaoru.yuan@gmail.com;The Hong Kong University of Science and Technology, Kowloon, Hong Kong. e-mail: weiwei@cse.ust.hk;The Hong Kong University of Science and Technology, Kowloon, Hong Kong. e-mail: huamin@cse.ust.hk;The University of Minnesota at Twin Cities, MN, USA. e-mail: baoquan@cs.umn.edu",Cities and towns;Optimization methods;Data visualization;Clustering methods;Topology;Roads;Data structures;Numerical analysis;Computer graphics;Internet,19,4069239;4069239;4015425;1532150;1249008,13,5571244;6636295;6183575;6295796;6596126;6596147;7156354;5887331;6065003;7866170,CN;CN;CN;CN;CN,,,,,,,,,,,,,
9,2008,4475460,Finite-Time Transport Structures of Flow Fields,"Modern experimental and computational fluid mechanics are increasingly concerned with the structure nature of fluid motion. Recent research has highlighted the analysis of one transport structure which is called Lagrangian coherent structure. However, the quantity nature of the flow transport is still unclear. In this paper, we focus on the transport characteristics of physical quantities and propose an approach to visualize the finite-time transport structure of quantity advection. This is similar to an integral convolution over a scalar field along path-lines of a flow field. Applied to a well-chosen set of physical quantity fields this yields structures giving insights into the dynamical processes of the underlying flow. We demonstrate our approach on a number of test data sets.",Kuangyu Shi;Holger Theisel;Tino Weinkauf;Hans-Christian Hege;Hans-Peter Seidel,MPI Informatik. e-mail: skyshi@mpi-inf.mpg.de;Magdeburg University. e-mail: theisel@isg.cs.uni-magdeburg.de;Zuse Institute Berlin. e-mail: weinkauf@zib.de;Zuse Institute Berlin. e-mail: hege@zib.de;MPI Informatik. e-mail: hpseidel@mpi-inf.mpg.de,Convolution;Data visualization;Lagrangian functions;Testing;Feature extraction;Modems;Topology;Noise generators;Sampling methods,38,346327;468404;346327;468404;4376175;1372214;1182960;809892;4376174;663898;558044;1432684;1250361;1532852,1,5429598,DE;DE;DE;DE;DE,,,,,,,,,,,,,
10,2008,4475461,Importance-Driven Particle Techniques for Flow Visualization,"Particle tracing has been established as a powerful visualization technique to show the dynamics of 3D flows. Particle tracing in 3D, however, quickly overextends the viewer due to the massive amount of visual information that is typically produced by this technique. In this paper, we present strategies to reduce this amount at the same time revealing important structures in the flow. As an importance measure, we introduce a simple, yet effective clustering approach for vector fields, and we use scalar flow quantities at different scales in combination with user-defined regions of interest. These measures are used to control the shape, the appearance, and the density of particles in such a way that the user can focus on the dynamics in important regions at the same time preserving context information. We also introduce a new focus for particle tracing, so called anchor lines. Anchor lines are used to analyze local flow features by visualizing how much particles separate over time and how long it takes until they have separated to a fixed distance. It is of particular interest if the finite time Lyapunov exponent - a scalar quantity that measures the rate of separation of infinitesimally close particles in the flow - is used to guide the placement of anchor lines. The effectiveness of our approaches for the visualization of 3D flow fields is validated using synthetic fields as well as real simulation data.",Kai Burger;Polina Kondratieva;Jens Kruger;Rudiger Westermann,"Computer Graphics and Visualization Group, Technische Universit?t M?nchen. kai.buerger@in.tum.de;Computer Graphics and Visualization Group, Technische Universit?t M?nchen. kondrati@in.tum.de;Scientific Computing and Imaging Institute, University of Utah. mail@jens.krueger.com;Computer Graphics and Visualization Group, Technische Universit?t M?nchen. westerma@in.tum.de",Data visualization;Computer graphics;Particle measurements;Shape measurement;Time measurement;Shape control;Rendering (computer graphics);Scientific computing;Density measurement;Focusing,32,964403;964403;745317;35197;663912;1512024;346312;809892;4376174;1298800;219449,7,7176865;6468541;5290737;5613499;5557866;5613496,DE;DE;US;DE,,,,,,,,,,,,,
